<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Соборне (49.56102, 25.76591) <END>
<START:location> Лутугине (48.0268, 38.66298) <END>
<START:location> Ізобільне (47.69711, 34.21818) <END>
<START:location> Стара Шарапановка (48.5, 28.91667) <END>
<START:location> Радужне (50.33509, 26.42529) <END>
<START:location> Бака Тас (44.98229, 35.11471) <END>
<START:location> Soleny (48.19283, 37.15699) <END>
<START:location> Гора Половатинець (48.92627, 23.7707) <END>
<START:location> Мала Яблунька (51.22588, 25.49228) <END>
<START:location> Лисогірка (47.65658, 35.09834) <END>
<START:location> Спичинці (49.41164, 29.16127) <END>
<START:location> Флотське (44.50599, 33.55374) <END>
<START:location> Урочище Іскрівка (46.55929, 34.97996) <END>
<START:location> Давидівка (48.51056, 39.17583) <END>
<START:location> Підзвіринець (49.57221, 23.7163) <END>
<START:location> Чорноморка (46.35695, 30.70213) <END>
<START:location> Борівське (49.83934, 34.72243) <END>
<START:location> Ostky (51.2627, 27.36681) <END>
<START:location> Загуже (49.7, 24.05) <END>
<START:location> Броварський район (50.58333, 31) <END>
<START:location> Антонівка (48.94484, 25.0539) <END>
<START:location> Українське (50.08436, 36.50005) <END>
<START:location> Степове (49.2368, 36.55322) <END>
<START:location> Томилівка (49.74896, 30.26609) <END>
<START:location> Імені (50.18306, 36.21778) <END>
<START:location> Крута Балка (48.17364, 34.0304) <END>
<START:location> Либохора (48.9365, 23.0621) <END>
<START:location> Березники (51.87268, 24.68455) <END>
<START:location> Замулинце (48.49045, 25.1962) <END>
<START:location> Пезети (48.77741, 27.19139) <END>
<START:location> Стражев (50.61167, 34.16306) <END>
<START:location> Ромашкове (52.15641, 33.96168) <END>
<START:location> Новоселиця (50.09672, 33.50441) <END>
<START:location> Замчики (49.7296, 27.37716) <END>
<START:location> Дмитрівка (49.67173, 31.85271) <END>
<START:location> Рудня (50.75, 28.25) <END>
<START:location> Sukil (49.16547, 24.0668) <END>
<START:location> Дремайловка (46.85, 33.53333) <END>
<START:location> Чапаєво (45.51234, 33.62517) <END>
<START:location> Центр механізації колійних робіт Південно-Західної залізниці (50.41721, 30.41528) <END>
<START:location> Вулиця Толбухіна (46.42924, 30.72941) <END>
<START:location> Корсунове (49.72442, 35.49396) <END>
<START:location> Калинівка (48.42203, 37.67743) <END>
<START:location> Урочище Нахом (51.70833, 25.26336) <END>
<START:location> Гвоздове (49.89137, 35.36633) <END>
<START:location> Сердобине (50.25752, 37.39966) <END>
<START:location> Колодниця (49.34483, 23.83679) <END>
<START:location> Каралар (45.44194, 36.16278) <END>
<START:location> Глушки (49.88523, 30.22116) <END>
<START:location> Удрицьк (51.74705, 26.75048) <END>
<START:location> Мирне (50.70786, 33.05029) <END>
<START:location> Іванчанка (46.34269, 29.13319) <END>
<START:location> Чорноріченський каніон (44.51667, 33.75) <END>
<START:location> Дем'янівка (47.70925, 33.15412) <END>
<START:location> Молодецьке (50.32317, 34.64158) <END>
<START:location> Derlo (48.43716, 27.80226) <END>
<START:location> Веселе (47.76102, 35.66554) <END>
<START:location> Новоселівське (48.54613, 35.80215) <END>
<START:location> Нагуєвичі (49.36641, 23.33122) <END>
<START:location> Петрівка (51.84767, 31.7436) <END>
<START:location> Аромат (44.57844, 33.93805) <END>
<START:location> Підбрусин (50.37972, 25.47724) <END>
<START:location> Вільне Запоріжжя (46.68333, 33.61667) <END>
<START:location> Вищий Булатець (50.02997, 32.90031) <END>
<START:location> Dmitrovskoye sel'skoye poselenye (45.48294, 35.05772) <END>
<START:location> Богоблагодатне (47.93333, 33.2) <END>
<START:location> Пологи (50.33436, 34.99579) <END>
<START:location> Губарівка (50.17706, 35.37224) <END>
<START:location> Прилуки (50.57972, 32.38555) <END>
<START:location> Весела Гора (48.62052, 37.11929) <END>
<START:location> Гусний (48.94237, 22.85152) <END>
<START:location> Vperëd (51.21667, 28.08333) <END>
<START:location> Вишняківка (49.64214, 33.84662) <END>
<START:location> Рибці (49.61675, 34.48071) <END>
<START:location> Красногірське (47.81837, 36.35178) <END>
<START:location> Становець (48.25975, 23.55163) <END>
<START:location> Новочервоне (49.63034, 38.30096) <END>
<START:location> Гора Яворнік (48.77669, 23.28532) <END>
<START:location> Козятин (50.35674, 34.86059) <END>
<START:location> Запоріжжя (48.03327, 36.76605) <END>
<START:location> Haiove (48.47064, 32.81505) <END>
<START:location> Belki (49.45789, 32.22861) <END>
<START:location> Виноградне (49.39567, 39.40582) <END>
<START:location> Криштопівка (50.00805, 32.08442) <END>
<START:location> Вулиця Дунайська (45.52636, 29.13446) <END>
<START:location> Новоєфремівка (46.48018, 34.9377) <END>
<START:location> Станція Умань (48.73444, 30.20278) <END>
<START:location> Червоний Кут (49.1459, 30.32347) <END>
<START:location> Гора Вузлова (45.26035, 36.15139) <END>
<START:location> Нікловичі (49.73304, 23.41799) <END>
<START:location> Панське (45.55269, 32.81327) <END>
<START:location> Тимощенкове (50.75388, 33.80319) <END>
<START:location> Хатина (48.31077, 22.58541) <END>
<START:location> Шипіт (48.70483, 22.80769) <END>
<START:location> Потеряйки-Горові (49.69627, 34.07253) <END>
<START:location> Лупареве (46.69167, 31.975) <END>
<START:location> Srednyaya Teplaya (48.81667, 38.38333) <END>
<START:location> Антосія (50.27483, 25.15255) <END>
<START:location> Поділля (50.19382, 31.35741) <END>
<START:location> Іванівка (49.53423, 32.84981) <END>
<START:location> Харцизька міськрада (48.03191, 38.24919) <END>
<START:location> Василівка (47.25812, 32.83565) <END>
<START:location> Станимир (49.73243, 24.44398) <END>
<START:location> Аврора (47.58333, 34.41667) <END>
<START:location> Ясинувата Друга (48.11302, 37.79733) <END>
<START:location> Жулин (49.17833, 23.77157) <END>
<START:location> Варварівка (50.20984, 26.88823) <END>
<START:location> Цвіжин (49.12082, 28.54755) <END>
<START:location> Веро-Миколаївка (49.01341, 36.22442) <END>
<START:location> Привітне (46.36965, 33.10407) <END>
<START:location> Витачів (50.11436, 30.8698) <END>
<START:location> Станція Стульневе (47.21275, 36.01569) <END>
<START:location> Миролюбівка (48.72502, 31.34817) <END>
<START:location> Отрохи (51.10268, 30.82427) <END>
<START:location> Петрівка Друга (48.0471, 31.70458) <END>
<START:location> Мис Святого Георгія (44.49038, 33.58454) <END>
<START:location> Jethou (49.46667, -2.46667) <END>
<START:location> Станція Калинівка Друга (49.45656, 28.47595) <END>
<START:location> Кривуха (50.40765, 25.68261) <END>
<START:location> Новодмитрівка (50.75789, 35.38367) <END>
<START:location> Гора Жевахова (46.55, 30.73333) <END>
<START:location> Косенкове (49.75372, 35.56411) <END>
<START:location> Tersa (48.26105, 35.77034) <END>
<START:location> Serne (48.36489, 22.4484) <END>
<START:location> Новаяжизнь (50.19139, 34.50389) <END>
<START:location> Смердючий (48.57927, 37.73877) <END>
<START:location> Червоне (45.4733, 34.66625) <END>
<START:location> Богданівка (50.51451, 32.37753) <END>
<START:location> Зведенівка (48.71051, 28.41028) <END>
<START:location> Лозово-Грушеве (50.65639, 34.295) <END>
<START:location> Водолага (49.78908, 35.93935) <END>
<START:location> Колгосп імені Шевченка (47.35667, 29.62306) <END>
<START:location> Цекинівка (48.15331, 28.31719) <END>
<START:location> Костянтинів (50.85126, 33.79709) <END>
<START:location> Старий Мост (51.60134, 29.01059) <END>
<START:location> Дніпробуд II (47.81014, 35.02559) <END>
<START:location> Богатирь (44.57926, 34.00822) <END>
<START:location> Yeline (52.02327, 31.97308) <END>
<START:location> Капітанівка (51.09178, 34.58474) <END>
<START:location> Новосамара (47.95247, 31.98303) <END>
<START:location> Пирогівка (51.2372, 33.01369) <END>
<START:location> Мерефа (49.77327, 36.0617) <END>
<START:location> Підгородне (49.53593, 25.52384) <END>
<START:location> Ємельяновка (45.53287, 34.89624) <END>
<START:location> Povch (51.15002, 28.5513) <END>
<START:location> Борисівка (47.74692, 34.5926) <END>
<START:location> Діброва (51.17029, 34.54241) <END>
<START:location> Сергіївка (49.98028, 37.62222) <END>
<START:location> Гензерівка (50.35429, 32.03997) <END>
<START:location> Адамівське (48.39321, 34.17764) <END>
<START:location> Сумно (50.88051, 34.71408) <END>
<START:location> Зелений Гай (47.47838, 33.06153) <END>
<START:location> Демитьяновка (51.06667, 25) <END>
<START:location> Українське (49.65512, 27.82155) <END>
<START:location> Криве Озеро (45.29755, 28.92866) <END>
<START:location> Заболоття (50.68993, 25.621) <END>
<START:location> Гора Куксунгур (46.91136, 36.01598) <END>
<START:location> Паплинці (49.63985, 27.69555) <END>
<START:location> Dobrin (50.15025, 26.48747) <END>
<START:location> Репище (50.90099, 29.07153) <END>
<START:location> Невідома річка (Сідава) (49.03702, 28.32614) <END>
<START:location> Тернівка (44.57922, 33.75105) <END>
<START:location> Новочорноглазівське (48.90596, 35.99529) <END>
<START:location> Воютичі (49.55685, 23.09394) <END>
<START:location> Вулиця Героїв Малинського Підпілля (50.76484, 29.29313) <END>
<START:location> Raiky (49.96752, 28.49862) <END>
<START:location> Грушка (48.34713, 30.29156) <END>
<START:location> Нестерівці (49.69939, 25.37402) <END>
<START:location> Городище (49.97798, 29.18665) <END>
<START:location> Видніжнє Гірло (45.38038, 29.73212) <END>
<START:location> Балка Редькіна (48.31194, 38.98) <END>
<START:location> Станція Підгородна (48.10905, 30.8922) <END>
<START:location> Clos du Valle (49.49667, -2.51806) <END>
<START:location> Санжарівка (48.43741, 38.42692) <END>
<START:location> Sunya (51.33333, 26.31667) <END>
<START:location> Morvilliere (49.47528, -2.50472) <END>
<START:location> Єрмішкове (46.92724, 29.80961) <END>
<START:location> Вулиця Центральна (50.00723, 26.639) <END>
<START:location> Боратин (50.28942, 25.33629) <END>
<START:location> Zahorb (49.01628, 22.66587) <END>
<START:location> Степанівка (50.09642, 35.07208) <END>
<START:location> Партизанське (50.69892, 27.34237) <END>
<START:location> Клюс (52.27975, 32.42666) <END>
<START:location> Виселки (49.28333, 28.95) <END>
<START:location> Стрілки (49.64025, 24.32351) <END>
<START:location> Балка Нагайська (46.90444, 36.79167) <END>
<START:location> Невідома річка (Грузків) (48.72236, 29.60582) <END>
<START:location> Ladysmith (49.71722, -2.20972) <END>
<START:location> Peninove (49.20687, 34.48337) <END>
<START:location> Розумівська вулиця (46.47522, 30.70927) <END>
<START:location> Бондарі (51.13333, 30.8) <END>
<START:location> Киселеве (48.04076, 39.5236) <END>
<START:location> Занівське (51.87049, 24.58635) <END>
<START:location> Надеждівка (47.78681, 31.71761) <END>
<START:location> Новогригорівка (48.64146, 38.89179) <END>
<START:location> Потік (48.60037, 23.34507) <END>
<START:location> Вербка (48.21183, 29.2735) <END>
<START:location> Бахани (51.76024, 30.85376) <END>
<START:location> Покровка (48.51509, 27.11421) <END>
<START:location> La Forge (49.42917, -2.35083) <END>
<START:location> Богородичне (49.01594, 37.50699) <END>
<START:location> Щелехівське Озеро (50.64995, 34.44719) <END>
<START:location> Вортенці (48.71139, 39.37944) <END>
<START:location> Кошарівка (51.43222, 30.00303) <END>
<START:location> Терешів (50.62382, 25.67937) <END>
<START:location> Макарівська ГНС (50.58306, 29.46473) <END>
<START:location> Тащенак (46.73174, 35.24447) <END>
<START:location> Гармаки (49.10372, 27.54704) <END>
<START:location> Новострільцівка (49.32227, 39.91559) <END>
<START:location> Zapson (48.28034, 22.47468) <END>
<START:location> Степне (52.08778, 33.7517) <END>
<START:location> Вулиця Просвіти (50.76533, 29.24521) <END>
<START:location> Ботвінський (47.86667, 33.9) <END>
<START:location> Чагор (48.2433, 25.99392) <END>
<START:location> Пшеничники (48.89442, 23.8671) <END>
<START:location> Запоріжжя (47.60175, 33.40085) <END>
<START:location> Євдокіївка (48.85173, 34.89821) <END>
<START:location> Щасливе (48.56894, 33.32847) <END>
<START:location> Августинівка (48.03723, 35.03177) <END>
<START:location> Дубіївка (50.32325, 27.32617) <END>
<START:location> Богданове Перше (47.26446, 29.83389) <END>
<START:location> Озеро Волянське (51.87857, 24.88856) <END>
<START:location> Добровідка (48.49358, 25.16771) <END>
<START:location> Микільське (47.75349, 37.30155) <END>
<START:location> Антонівка (46.6, 34.35) <END>
<START:location> Підстепне (47.60595, 33.99648) <END>
<START:location> Новоселівка (48.49581, 36.57311) <END>
<START:location> Анновка (49.8, 36.73333) <END>
<START:location> Лобківка (51.21111, 33.28451) <END>
<START:location> Водяне (47.48651, 34.50422) <END>
<START:location> Сигнівка (49.82741, 23.96135) <END>
<START:location> Шнурки (48.90592, 37.31125) <END>
<START:location> Сірники (49.59317, 24.33782) <END>
<START:location> Малокостянтинівка (48.44259, 38.90693) <END>
<START:location> Повстанське (46.52144, 30.25945) <END>
<START:location> Липняк (50.06581, 29.48716) <END>
<START:location> Дубинове (48.1339, 30.28673) <END>
<START:location> Кашик Джермай (45.29816, 35.93058) <END>
<START:location> Перемога (51.10649, 34.37666) <END>
<START:location> Львівська Вулиця (46.39936, 30.73308) <END>
<START:location> Побійна (49.206, 30.29468) <END>
<START:location> Семенівка (49.86864, 28.65732) <END>
<START:location> Підгороддя (49.44062, 24.59339) <END>
<START:location> Вулиця Киселівська (50.81679, 29.34436) <END>
<START:location> Ритні (51.0248, 30.20469) <END>
<START:location> Турова (50.3223, 27.9368) <END>
<START:location> Малинський цегельний завод (50.76283, 29.2701) <END>
<START:location> Ясенівка (47.32861, 38.05528) <END>
<START:location> Зміїв (49.701939, 36.355171) <END>
<START:location> Печера Три Ніздри (44.76698, 34.2926) <END>
<START:location> Зупиночний Пункт Райки (49.94528, 28.51208) <END>
<START:location> Петрівка (45.49776, 34.28816) <END>
<START:location> Великі Дмитровичі (50.20026, 30.55366) <END>
<START:location> Довжок (48.67508, 26.53575) <END>
<START:location> Мельники (51.41019, 24.42472) <END>
<START:location> Острівськ (51.70587, 25.77469) <END>
<START:location> Sapaguv (49.05496, 24.61059) <END>
<START:location> Birky (50.51084, 31.43959) <END>
<START:location> Рудня Бобровська (51.05, 27.06667) <END>
<START:location> Дорошівка (48.33366, 28.11425) <END>
<START:location> Рожні (50.6669, 30.73503) <END>
<START:location> Поділ (49.66962, 33.88247) <END>
<START:location> Старий Глібов (51.11667, 30.56667) <END>
<START:location> Прикордонний Пункт Пропуску Пулемець (51.55502, 23.63838) <END>
<START:location> Нові Серби (50.77491, 27.74868) <END>
<START:location> Ольгівка (49.24343, 37.85245) <END>
<START:location> Зернове (45.28838, 33.86414) <END>
<START:location> Boiaro-Lezhachi (51.27104, 34.2089) <END>
<START:location> Вінницьке (48.08692, 38.41802) <END>
<START:location> Дорофіївка (49.55344, 26.20721) <END>
<START:location> Галагурівка (49.20136, 34.15623) <END>
<START:location> Сватки (50.4879, 34.01676) <END>
<START:location> Сотницьке (50.16667, 32.55) <END>
<START:location> Шимшинівка (48.4393, 38.98927) <END>
<START:location> Бердичів Західний (49.89806, 28.43556) <END>
<START:location> Підберезці (49.80716, 24.21489) <END>
<START:location> Абазівка (49.61151, 34.3455) <END>
<START:location> Великі Трояни (48.39588, 30.21895) <END>
<START:location> Тимофіївка (51.01812, 33.78804) <END>
<START:location> Олексіївка (47.23532, 36.53961) <END>
<START:location> Новоскелювате (47.93824, 36.18908) <END>
<START:location> Оболоння (51.6202, 32.93122) <END>
<START:location> Зелена (46.89975, 37.10503) <END>
<START:location> Переможне (46.67822, 34.79119) <END>
<START:location> Новоклинівка (47.8585, 38.44928) <END>
<START:location> Павелки (49.94885, 29.08638) <END>
<START:location> Пилятин (50.93466, 31.29879) <END>
<START:location> Звіздаль (51.21714, 29.19095) <END>
<START:location> Добропілля (46.23495, 32.58121) <END>
<START:location> Доброолександрівка (46.33747, 30.48784) <END>
<START:location> Гора Губерт (49.43333, -2.58333) <END>
<START:location> Озеро Біле (51.48542, 24.16485) <END>
<START:location> Соколівка (48.44085, 28.99771) <END>
<START:location> Соколівка (47.99563, 35.22873) <END>
<START:location> Баківці (49.54254, 24.36651) <END>
<START:location> Путивль (51.33745, 33.87066) <END>
<START:location> Ростановка (49.575, 37.51889) <END>
<START:location> Острів Ліхоу (49.46056, -2.66722) <END>
<START:location> Шманьківці (48.99447, 25.92172) <END>
<START:location> Шемети (49.68333, 36.18694) <END>
<START:location> Сотницьке (48.6628, 34.60206) <END>
<START:location> Гаврилівка (48.07461, 36.5293) <END>
<START:location> Комплекс Одеса (46.43322, 30.76152) <END>
<START:location> Турія (48.87674, 31.64306) <END>
<START:location> Олексіївка (49.09571, 36.03833) <END>
<START:location> Гнилички (49.66481, 26.10349) <END>
<START:location> Baby (48.76667, 24.76667) <END>
<START:location> Східна Золота Липа (49.50476, 24.94632) <END>
<START:location> Скадовськ (46.11313, 32.90978) <END>
<START:location> Хутор Дергачі (49.96385, 35.4808) <END>
<START:location> Вулиця Вишнева (50.78159, 29.28369) <END>
<START:location> Говерла (48.07612, 24.44906) <END>
<START:location> Ново Петрівка (49.16472, 36.455) <END>
<START:location> Калинове (49.78221, 37.63285) <END>
<START:location> Немирівський район (48.96827, 28.83516) <END>
<START:location> Залізна Балка (48.3192, 37.92293) <END>
<START:location> Будівельне (51.68129, 34.06027) <END>
<START:location> Les Kaines d'Amont (49.41722, -2.64139) <END>
<START:location> Вулиця Малинська (50.82582, 28.97445) <END>
<START:location> Moldova Posh Kolkhoz (47.68556, 29.31778) <END>
<START:location> Велика Медведівка (50.11701, 27.25069) <END>
<START:location> Степанівка (49.8009, 35.08456) <END>
<START:location> Калинівка (46.91595, 35.79659) <END>
<START:location> Аршичин (50.48691, 25.65793) <END>
<START:location> Кам'яногірка (48.91902, 28.11139) <END>
<START:location> Залішки Давногрецького міста Ніконія (46.18494, 30.45854) <END>
<START:location> Пригір'я (47.52433, 33.19509) <END>
<START:location> Альтенау (46.98333, 35.6) <END>
<START:location> Зелене (48.50275, 36.73722) <END>
<START:location> Маленьке (45.07585, 33.99942) <END>
<START:location> Великий Лог (48.41667, 39.55) <END>
<START:location> Станція Стажиська двір (49.97185, 23.54601) <END>
<START:location> Beaucamps de Bas (49.46389, -2.58083) <END>
<START:location> Градівка (47.39066, 31.07853) <END>
<START:location> Гибалівка (48.73322, 28.09642) <END>
<START:location> Пильня (51.4112, 30.72941) <END>
<START:location> Вовківське (50.24243, 33.46954) <END>
<START:location> Мостове (47.4179, 30.99232) <END>
<START:location> Середній (50.12126, 37.13966) <END>
<START:location> Іванівка (50.70074, 28.33675) <END>
<START:location> Братолюбівка (46.97933, 35.04972) <END>
<START:location> Дунаївці (49.02121, 26.84084) <END>
<START:location> Урочище Сокуренка (47.39528, 29.94639) <END>
<START:location> Вулиця Бадаєва (46.50108, 30.69164) <END>
<START:location> Ромашково (51.13333, 26.05) <END>
<START:location> Писарівка (49.42134, 34.60602) <END>
<START:location> Мечникове (49.78762, 38.00518) <END>
