<START:location> Strilkovychi (49.5, 23.13333) <END>
<START:location> Khartsyzka Miskrada (48.03191, 38.24919) <END>
<START:location> Vasylivka (47.25812, 32.83565) <END>
<START:location> Stanymyr (49.73243, 24.44398) <END>
<START:location> Avrora (47.58333, 34.41667) <END>
<START:location> Yasynuvata Druha (48.11302, 37.79733) <END>
<START:location> Zhulyn (49.17833, 23.77157) <END>
<START:location> Varvarivka (50.20984, 26.88823) <END>
<START:location> Tsvizhin (49.12082, 28.54755) <END>
<START:location> Vero-Nikolayevka (49.01341, 36.22442) <END>
<START:location> Pryvitne (46.36965, 33.10407) <END>
<START:location> Vytachiv (50.11436, 30.8698) <END>
<START:location> Stantsiya Stul'neve (47.21275, 36.01569) <END>
<START:location> Myroliubivka (48.72502, 31.34817) <END>
<START:location> Otrokhy (51.10268, 30.82427) <END>
<START:location> Petrivka Druha (48.0471, 31.70458) <END>
<START:location> Mys Svyatogo Georgiya (44.49038, 33.58454) <END>
<START:location> Jethou (49.46667, -2.46667) <END>
<START:location> Stantsiya Kalinovka Vtoraya (49.45656, 28.47595) <END>
<START:location> Kryvukha (50.40765, 25.68261) <END>
<START:location> Novodmytrivka (50.75789, 35.38367) <END>
<START:location> Gora Zhevakhova (46.55, 30.73333) <END>
<START:location> Kosenkove (49.75372, 35.56411) <END>
<START:location> Tersa (48.26105, 35.77034) <END>
<START:location> Serne (48.36489, 22.4484) <END>
<START:location> Novayazhizn’ (50.19139, 34.50389) <END>
<START:location> Stinky (48.57927, 37.73877) <END>
<START:location> Chervonoye (45.4733, 34.66625) <END>
<START:location> Bohdanivka (50.51451, 32.37753) <END>
<START:location> Zvedenivka (48.71051, 28.41028) <END>
<START:location> Lozovo-Hrusheve (50.65639, 34.295) <END>
<START:location> Vodolaha (49.78908, 35.93935) <END>
<START:location> Imeni Shevchenko Kolkhoz (47.35667, 29.62306) <END>
<START:location> Tsekynivka (48.15331, 28.31719) <END>
<START:location> Kostiantyniv (50.85126, 33.79709) <END>
<START:location> Stari Most (51.60134, 29.01059) <END>
<START:location> Dniprobud II (47.81014, 35.02559) <END>
<START:location> Bogatyr' (44.57926, 34.00822) <END>
<START:location> Yeline (52.02327, 31.97308) <END>
<START:location> Kapitanivka (51.09178, 34.58474) <END>
<START:location> Novosamara (47.95247, 31.98303) <END>
<START:location> Pyrohivka (51.2372, 33.01369) <END>
<START:location> Merefa (49.77327, 36.0617) <END>
<START:location> Pidhorodne (49.53593, 25.52384) <END>
<START:location> Yemelyanovka (45.53287, 34.89624) <END>
<START:location> Povch (51.15002, 28.5513) <END>
<START:location> Borysivka (47.74692, 34.5926) <END>
<START:location> Dibrova (51.17029, 34.54241) <END>
<START:location> Sergeyevka (49.98028, 37.62222) <END>
<START:location> Henzerivka (50.35429, 32.03997) <END>
<START:location> Adamivske (48.39321, 34.17764) <END>
<START:location> Sad (50.88051, 34.71408) <END>
<START:location> Zelenyy Hay (47.47838, 33.06153) <END>
<START:location> Demityanovka (51.06667, 25) <END>
<START:location> Ukrayinske (49.65512, 27.82155) <END>
<START:location> Kryve Ozero (45.29755, 28.92866) <END>
<START:location> Zabolottia (50.68993, 25.621) <END>
<START:location> Gora Kuksungur (46.91136, 36.01598) <END>
<START:location> Paplyntsi (49.63985, 27.69555) <END>
<START:location> Dobrin (50.15025, 26.48747) <END>
<START:location> Repyshche (50.90099, 29.07153) <END>
<START:location> Unknown River (Sidava) (49.03702, 28.32614) <END>
<START:location> Ternovka (44.57922, 33.75105) <END>
<START:location> Novochornohlazivske (48.90596, 35.99529) <END>
<START:location> Voyutychi (49.55685, 23.09394) <END>
<START:location> Heroyiv Malyns'koho Pidpillya Street (50.76484, 29.29313) <END>
<START:location> Raiky (49.96752, 28.49862) <END>
<START:location> Hrushka (48.34713, 30.29156) <END>
<START:location> Nesterovtsy (49.69939, 25.37402) <END>
<START:location> Horodyshche (49.97798, 29.18665) <END>
<START:location> Vidnizhne Hyrlo (45.38038, 29.73212) <END>
<START:location> Balka Red’kina (48.31194, 38.98) <END>
<START:location> Stantsiya Pidhorodna (48.10905, 30.8922) <END>
<START:location> Clos du Valle (49.49667, -2.51806) <END>
<START:location> Sanzharivka (48.43741, 38.42692) <END>
<START:location> Sunya (51.33333, 26.31667) <END>
<START:location> Morvilliere (49.47528, -2.50472) <END>
<START:location> Yermishkove (46.92724, 29.80961) <END>
<START:location> Tsentralna Street (50.00723, 26.639) <END>
<START:location> Boratyn (50.28942, 25.33629) <END>
<START:location> Zahorb (49.01628, 22.66587) <END>
<START:location> Stepanivka (50.09642, 35.07208) <END>
<START:location> Partyzanske (50.69892, 27.34237) <END>
<START:location> Klyus (52.27975, 32.42666) <END>
<START:location> Vyselki (49.28333, 28.95) <END>
<START:location> Strelki (49.64025, 24.32351) <END>
<START:location> Balka Nagayskaya (46.90444, 36.79167) <END>
<START:location> Unknown River (Gruz'kov) (48.72236, 29.60582) <END>
<START:location> Ladysmith (49.71722, -2.20972) <END>
<START:location> Peninove (49.20687, 34.48337) <END>
<START:location> Zaiachivka (51.27837, 25.19197) <END>
<START:location> Rozumivska Vulytsia (46.47522, 30.70927) <END>
<START:location> Bondari (51.13333, 30.8) <END>
<START:location> Kyseleve (48.04076, 39.5236) <END>
<START:location> Zanivskoye (51.87049, 24.58635) <END>
<START:location> Nadezhdivka (47.78681, 31.71761) <END>
<START:location> Novohryhorivka (48.64146, 38.89179) <END>
<START:location> Potik (48.60037, 23.34507) <END>
<START:location> Verbka (48.21183, 29.2735) <END>
<START:location> Bakhany (51.76024, 30.85376) <END>
<START:location> Pokrovka (48.51509, 27.11421) <END>
<START:location> La Forge (49.42917, -2.35083) <END>
<START:location> Bohorodychne (49.01594, 37.50699) <END>
<START:location> Shchelekhivske Ozero (50.64995, 34.44719) <END>
<START:location> Vortentsy (48.71139, 39.37944) <END>
<START:location> Kosharivka (51.43222, 30.00303) <END>
<START:location> Tereshiv (50.62382, 25.67937) <END>
<START:location> Makariv Hydraulic Pumping Station (50.58306, 29.46473) <END>
<START:location> Tashchenak (46.73174, 35.24447) <END>
<START:location> Harmaky (49.10372, 27.54704) <END>
<START:location> Novostriltsivka (49.32227, 39.91559) <END>
<START:location> Zapson (48.28034, 22.47468) <END>
<START:location> Stepne (52.08778, 33.7517) <END>
<START:location> Prosvity Street (50.76533, 29.24521) <END>
<START:location> Botvinskiy (47.86667, 33.9) <END>
<START:location> Chahor (48.2433, 25.99392) <END>
<START:location> Pshenychnyky (48.89442, 23.8671) <END>
<START:location> Zaporizhzhia (47.60175, 33.40085) <END>
<START:location> Yevdokiivka (48.85173, 34.89821) <END>
<START:location> Shchaslyve (48.56894, 33.32847) <END>
<START:location> Avhustynivka (48.03723, 35.03177) <END>
<START:location> Dubiivka (50.32325, 27.32617) <END>
<START:location> Bohdanove Pershe (47.26446, 29.83389) <END>
<START:location> Ozero Volianske (51.87857, 24.88856) <END>
<START:location> Dobrovidka (48.49358, 25.16771) <END>
<START:location> Mykilske (47.75349, 37.30155) <END>
<START:location> Antonovka (46.6, 34.35) <END>
<START:location> Pidstepne (47.60595, 33.99648) <END>
<START:location> Novoselivka (48.49581, 36.57311) <END>
<START:location> Annovka (49.8, 36.73333) <END>
<START:location> Lobkivka (51.21111, 33.28451) <END>
<START:location> Vodiane (47.48651, 34.50422) <END>
<START:location> Sygnivka (49.82741, 23.96135) <END>
<START:location> Shnurky (48.90592, 37.31125) <END>
<START:location> Sirnyky (49.59317, 24.33782) <END>
<START:location> Malokostiantynivka (48.44259, 38.90693) <END>
<START:location> Povstanske (46.52144, 30.25945) <END>
<START:location> Lypniak (50.06581, 29.48716) <END>
<START:location> Dubynove (48.1339, 30.28673) <END>
<START:location> Kashik Dzhermay (45.29816, 35.93058) <END>
<START:location> Peremoha (51.10649, 34.37666) <END>
<START:location> Lvivska Vulytsia (46.39936, 30.73308) <END>
<START:location> Pobiina (49.206, 30.29468) <END>
<START:location> Semenivka (49.86864, 28.65732) <END>
<START:location> Pidhoroddia (49.44062, 24.59339) <END>
<START:location> Kyselivska Street (50.81679, 29.34436) <END>
<START:location> Rytni (51.0248, 30.20469) <END>
<START:location> Turova (50.3223, 27.9368) <END>
<START:location> Malyn Brick Factory (50.76283, 29.2701) <END>
<START:location> Yasenovka (47.32861, 38.05528) <END>
<START:location> Зміїв (49.701939, 36.355171) <END>
<START:location> Pechera Try Nizdry (44.76698, 34.2926) <END>
<START:location> Zupynochnyi Punkt Raiky (49.94528, 28.51208) <END>
<START:location> Petrovka (45.49776, 34.28816) <END>
<START:location> Velyki Dmytrovychi (50.20026, 30.55366) <END>
<START:location> Dovzhok (48.67508, 26.53575) <END>
<START:location> Melnyky (51.41019, 24.42472) <END>
<START:location> Ostrivsk (51.70587, 25.77469) <END>
<START:location> Sapaguv (49.05496, 24.61059) <END>
<START:location> Birky (50.51084, 31.43959) <END>
<START:location> Rudnya Bobrovska (51.05, 27.06667) <END>
<START:location> Doroshivka (48.33366, 28.11425) <END>
<START:location> Rozhny (50.6669, 30.73503) <END>
<START:location> Podil (49.66962, 33.88247) <END>
<START:location> Staryy Glybov (51.11667, 30.56667) <END>
<START:location> Prykordonnyi Punkt Propusku Pulemets (51.55502, 23.63838) <END>
<START:location> Novi Serby (50.77491, 27.74868) <END>
<START:location> Olhivka (49.24343, 37.85245) <END>
<START:location> Zernovoye (45.28838, 33.86414) <END>
<START:location> Boiaro-Lezhachi (51.27104, 34.2089) <END>
<START:location> Vinnytske (48.08692, 38.41802) <END>
<START:location> Dorofiyivka (49.55344, 26.20721) <END>
<START:location> Halahurivka (49.20136, 34.15623) <END>
<START:location> Svatky (50.4879, 34.01676) <END>
<START:location> Sotnitskoye (50.16667, 32.55) <END>
<START:location> Shymshynivka (48.4393, 38.98927) <END>
<START:location> Berdychiv West (49.89806, 28.43556) <END>
<START:location> Podbereztsy (49.80716, 24.21489) <END>
<START:location> Abazivka (49.61151, 34.3455) <END>
<START:location> Velyki Troiany (48.39588, 30.21895) <END>
<START:location> Tymofiivka (51.01812, 33.78804) <END>
<START:location> Oleksiivka (47.23532, 36.53961) <END>
<START:location> Novoskeliuvate (47.93824, 36.18908) <END>
<START:location> Obolonnia (51.6202, 32.93122) <END>
<START:location> Zelena (46.89975, 37.10503) <END>
<START:location> Peremozhne (46.67822, 34.79119) <END>
<START:location> Novoklynivka (47.8585, 38.44928) <END>
<START:location> Pavelky (49.94885, 29.08638) <END>
<START:location> Pyliatyn (50.93466, 31.29879) <END>
<START:location> Zvizdal (51.21714, 29.19095) <END>
<START:location> Dobropillia (46.23495, 32.58121) <END>
<START:location> Dobrooleksandrivka (46.33747, 30.48784) <END>
<START:location> Mount Hubert (49.43333, -2.58333) <END>
<START:location> Ozero Beloye (51.48542, 24.16485) <END>
<START:location> Sokolivka (48.44085, 28.99771) <END>
<START:location> Sokolivka (47.99563, 35.22873) <END>
<START:location> Bakovtsy (49.54254, 24.36651) <END>
<START:location> Putyvl (51.33745, 33.87066) <END>
<START:location> Rostanovka (49.575, 37.51889) <END>
<START:location> Lihou Island (49.46056, -2.66722) <END>
<START:location> Shmankivtsi (48.99447, 25.92172) <END>
<START:location> Shemety (49.68333, 36.18694) <END>
<START:location> Sotnytske (48.6628, 34.60206) <END>
<START:location> Havrylivka (48.07461, 36.5293) <END>
<START:location> Complex Odessa (46.43322, 30.76152) <END>
<START:location> Turiia (48.87674, 31.64306) <END>
<START:location> Oleksiivka (49.09571, 36.03833) <END>
<START:location> Hnylychyky (49.66481, 26.10349) <END>
<START:location> Baby (48.76667, 24.76667) <END>
<START:location> Skhidna Zolota Lypa (49.50476, 24.94632) <END>
<START:location> Skadovsk (46.11313, 32.90978) <END>
<START:location> Khutor Dergachi (49.96385, 35.4808) <END>
<START:location> Vyshneva Street (50.78159, 29.28369) <END>
<START:location> Hoverla (48.07612, 24.44906) <END>
<START:location> Novo Petrovka (49.16472, 36.455) <END>
<START:location> Kalynove (49.78221, 37.63285) <END>
<START:location> Nemyriv Raion (48.96827, 28.83516) <END>
<START:location> Zalizna Balka (48.3192, 37.92293) <END>
<START:location> Budivelne (51.68129, 34.06027) <END>
<START:location> Les Kaines d'Amont (49.41722, -2.64139) <END>
<START:location> Malynska Street (50.82582, 28.97445) <END>
<START:location> Moldova Posh Kolkhoz (47.68556, 29.31778) <END>
<START:location> Velyka Medvedivka (50.11701, 27.25069) <END>
<START:location> Stepanivka (49.8009, 35.08456) <END>
<START:location> Kalynivka (46.91595, 35.79659) <END>
<START:location> Arshychyn (50.48691, 25.65793) <END>
<START:location> Kam'yanohirka (48.91902, 28.11139) <END>
<START:location> Zalyshky Davnohretskoho Mista Nikonii (46.18494, 30.45854) <END>
<START:location> Pryhiria (47.52433, 33.19509) <END>
<START:location> Al’tenau (46.98333, 35.6) <END>
<START:location> Zelene (48.50275, 36.73722) <END>
